customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,churn
29,55,39.575560640562465,6672.721419571744,Two year,Credit card,DSL,No internet service,Yes,No,No,0,No,No,No,No,0
30,64,71.3175082282036,4617.60179823452,Two year,Credit card,No,Yes,No,No internet service,Yes,0,Yes,No,No,Yes,0
31,3,33.05045596374398,4712.729604639183,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,Yes,No,1,No,No,No,No phone service,1
32,51,64.05391598729948,1757.2257688549541,Two year,Bank transfer,DSL,No,Yes,No,No,1,Yes,No,No,No phone service,0
33,7,51.73054774204866,685.4591194730672,Month-to-month,Electronic check,DSL,No,Yes,No,No,0,No,No,No,No,1
34,21,111.19595841996332,3771.3259443373045,Month-to-month,Mailed check,DSL,Yes,No internet service,Yes,No,0,Yes,No,No,No phone service,1
35,39,26.092872172071996,4963.334420186636,Month-to-month,Mailed check,No,No internet service,No internet service,Yes,No,1,No,No,Yes,No phone service,0
36,18,89.4017414105742,850.8670234273162,Month-to-month,Bank transfer,No,Yes,No,No internet service,No,1,Yes,Yes,Yes,Yes,1
37,4,38.275116598743594,7609.222348772517,Month-to-month,Credit card,No,Yes,No internet service,No,Yes,1,No,Yes,No,No phone service,1
38,60,51.90450743322398,7845.273445839174,One year,Mailed check,DSL,Yes,Yes,No,Yes,0,No,No,Yes,No phone service,0
39,14,61.551406306206594,4409.107893600687,Month-to-month,Bank transfer,DSL,No,No internet service,No,No,0,No,No,Yes,No phone service,0
40,9,110.80150893749742,7605.546326659909,Month-to-month,Credit card,Fiber optic,No internet service,No internet service,Yes,Yes,1,No,Yes,Yes,No phone service,1
41,53,44.25782660738251,1517.6173768887393,One year,Electronic check,Fiber optic,No internet service,No,Yes,No,0,No,No,Yes,No,0
42,2,29.130880254467023,300.8234129182467,One year,Mailed check,Fiber optic,No internet service,Yes,Yes,Yes,0,No,Yes,Yes,No phone service,0
43,60,51.86896039905236,411.33532879408045,One year,Electronic check,Fiber optic,No,No internet service,No,No,1,Yes,No,Yes,Yes,0
44,71,30.467597053553334,4741.348587471555,Two year,Credit card,DSL,No,Yes,No,Yes,0,Yes,No,Yes,No,0
45,44,32.85964859605525,586.970879150906,Two year,Bank transfer,No,Yes,No,Yes,No,1,Yes,No,Yes,No phone service,0
46,8,77.38505979750266,7672.510293910288,Month-to-month,Electronic check,No,No,Yes,No internet service,Yes,1,No,No,No,No,1
47,47,26.09019330994933,1221.2723649992488,Month-to-month,Bank transfer,No,Yes,No internet service,No,Yes,1,Yes,No,No,No phone service,0
48,35,23.093088139356603,2507.310167818531,Month-to-month,Mailed check,No,No,No internet service,No internet service,No,1,No,Yes,No,No phone service,0
49,36,91.44141014704978,6597.890635786953,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,0,No,No,No,No,1
50,50,56.16470948410445,1828.0485525223353,One year,Mailed check,DSL,No,No,No,No,1,Yes,No,Yes,No,0
51,4,32.53753492338733,2019.4508217911077,Two year,Mailed check,No,No internet service,No,No internet service,No,1,Yes,Yes,No,No,0
52,2,45.361277085970826,5174.240750749044,One year,Mailed check,DSL,Yes,Yes,No,No,1,Yes,No,No,No,0
53,6,84.2086507352399,2281.0800990651724,Two year,Mailed check,Fiber optic,No,Yes,No internet service,Yes,0,No,Yes,Yes,Yes,1
54,54,47.553656714085115,1817.8363086608322,One year,Mailed check,Fiber optic,No,Yes,No,No,0,Yes,Yes,No,No,0
55,4,69.45211251204078,2108.0039430146944,Month-to-month,Credit card,No,Yes,Yes,No internet service,No,0,No,Yes,No,Yes,1
56,54,32.16953067266723,3976.115244791742,Two year,Electronic check,No,No,No,No internet service,Yes,0,No,No,Yes,No phone service,0
57,63,78.8093637605447,7732.188994578709,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes,Yes,Yes,1,No,Yes,No,No phone service,1
58,18,51.607768384326405,6674.679738333703,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,0,Yes,No,No,No,0
59,44,82.69684345287165,2348.4210900253993,Two year,Credit card,DSL,Yes,Yes,No internet service,No,0,Yes,No,Yes,No phone service,0
60,34,100.8394882304023,2970.648347134972,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,0,Yes,No,Yes,Yes,1
61,62,81.16464193899924,3769.6467789822113,Month-to-month,Bank transfer,DSL,Yes,No,No internet service,Yes,1,Yes,Yes,No,Yes,1
62,14,49.57475625950207,7833.544211434224,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,1,No,Yes,No,No,0
63,48,45.57437015483004,1461.884699852154,One year,Electronic check,DSL,No internet service,No internet service,No,No,1,No,No,No,No,0
64,15,52.7420958733448,2924.1165175858746,Two year,Bank transfer,Fiber optic,Yes,No internet service,No,Yes,1,No,No,Yes,No,0
65,62,36.462051323650485,5862.466142463448,Two year,Electronic check,Fiber optic,No internet service,Yes,No,No,0,No,Yes,No,Yes,0
66,40,38.117185085002006,7715.1555007246525,Two year,Bank transfer,DSL,No internet service,Yes,Yes,Yes,0,Yes,No,No,No,0
67,53,99.06911019001679,1329.8341808374778,Month-to-month,Bank transfer,DSL,No internet service,No,No internet service,Yes,0,Yes,Yes,No,Yes,1
68,24,58.4732576507445,1896.3016381353316,Two year,Electronic check,No,Yes,No internet service,No,No,0,No,No,No,Yes,0
69,26,63.59951805705858,1882.9879276843988,Two year,Credit card,No,No internet service,Yes,Yes,Yes,0,Yes,Yes,Yes,No phone service,0
70,60,79.40494655668111,265.36303298738073,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,No,Yes,1,No,Yes,Yes,No phone service,1
71,41,78.96534951515477,4872.513437349501,Month-to-month,Mailed check,Fiber optic,No internet service,No internet service,No,No,0,No,Yes,No,No,1
72,29,26.737687152192574,5398.554285752561,Two year,Mailed check,DSL,Yes,No internet service,Yes,No,1,Yes,Yes,No,No,0
73,15,103.15407863376656,4859.954531989501,One year,Credit card,Fiber optic,No,No,Yes,Yes,1,No,No,Yes,No,0
74,45,37.73265532239394,663.4516163612333,Month-to-month,Mailed check,No,No,Yes,No,No,1,Yes,Yes,Yes,No,0
75,65,92.30716360496689,646.9179933904904,One year,Electronic check,DSL,No internet service,Yes,No internet service,No,0,Yes,No,Yes,Yes,0
76,71,97.26709881281666,1762.0537805035797,One year,Bank transfer,Fiber optic,No,No,Yes,No,0,No,Yes,Yes,No,0
77,9,91.48995340913137,2393.3266740214253,One year,Bank transfer,DSL,No internet service,No,No internet service,Yes,1,Yes,Yes,No,No phone service,1
78,1,77.89776465541452,6313.694881689375,One year,Bank transfer,No,No internet service,No,No,Yes,0,Yes,No,Yes,No,1
79,8,21.460899710888285,1359.1830994164768,Month-to-month,Bank transfer,No,No internet service,No internet service,No,Yes,0,No,Yes,Yes,Yes,1
80,63,56.03754923631707,448.3285095405039,Two year,Mailed check,No,No,No internet service,No,Yes,0,Yes,No,No,No phone service,0
81,11,80.48394293625812,3212.5013109331353,Two year,Mailed check,Fiber optic,No internet service,Yes,No,Yes,0,Yes,No,No,No phone service,1
82,8,58.74512959225387,3389.4981441211703,Month-to-month,Mailed check,Fiber optic,No,Yes,No,Yes,1,Yes,Yes,No,No,1
83,35,106.34798949128131,3662.1679716927383,Month-to-month,Electronic check,Fiber optic,No,No internet service,No,Yes,0,Yes,No,No,No phone service,1
84,35,50.880227534961534,6632.537997813051,One year,Mailed check,Fiber optic,Yes,No internet service,No internet service,No,0,Yes,No,No,No phone service,0
85,33,49.35347924586604,874.2427774804396,One year,Mailed check,Fiber optic,No,No,Yes,No,0,Yes,Yes,No,No,0
86,5,46.599769309265795,5661.142451133501,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,No,Yes,1,No,No,No,No,1
87,41,53.27808689607955,2769.7700112577973,Two year,Mailed check,No,No internet service,Yes,Yes,Yes,1,Yes,No,Yes,Yes,0
88,28,75.74049643141872,2548.8430778402126,One year,Credit card,No,No internet service,Yes,No internet service,No,0,No,Yes,Yes,No phone service,0
89,7,90.70152942725908,7467.090696079241,Month-to-month,Credit card,Fiber optic,Yes,No,No,Yes,0,No,No,No,No,1
90,12,86.2567917738785,2062.901342892262,Month-to-month,Bank transfer,No,No internet service,No,No,Yes,0,No,Yes,Yes,No phone service,1
91,34,100.77178199814796,5176.001499180994,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,Yes,0,No,No,Yes,No,1
92,33,108.59139954974249,2273.5092832711275,One year,Credit card,Fiber optic,Yes,No internet service,Yes,No,1,No,Yes,No,Yes,0
93,48,101.60790423433512,4106.436672859042,Month-to-month,Credit card,DSL,No internet service,No internet service,Yes,No,1,No,No,Yes,No,1
94,23,21.89454033743546,6311.713851510595,Two year,Electronic check,Fiber optic,Yes,Yes,No,No,1,Yes,No,Yes,No,0
95,62,93.59179535519887,7065.607935778458,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,Yes,Yes,1,Yes,Yes,Yes,Yes,1
96,37,40.839957361833164,6725.708198330897,One year,Credit card,No,Yes,No internet service,Yes,No,1,No,No,Yes,No,0
97,44,33.292804270798264,4699.227815542655,Two year,Credit card,DSL,No internet service,Yes,No internet service,No,1,No,Yes,No,Yes,0
98,35,83.84887847991355,2065.648891171955,Two year,Bank transfer,No,No internet service,Yes,No,Yes,0,No,No,Yes,No phone service,0
99,65,51.97431954076949,5323.7437277687395,Month-to-month,Mailed check,Fiber optic,No internet service,No,No,Yes,1,Yes,Yes,Yes,No phone service,0
100,47,25.711716337044326,5708.249861658903,Month-to-month,Bank transfer,DSL,No internet service,Yes,No,Yes,1,Yes,Yes,No,No phone service,0
101,3,33.76297343983614,184.46672189666117,Two year,Electronic check,Fiber optic,No internet service,No,Yes,Yes,1,No,No,Yes,No,0
102,1,20.092941686996106,3569.763036361809,Month-to-month,Electronic check,No,No,No,No internet service,No,0,No,Yes,No,Yes,1
103,5,110.32236273447073,6761.770138291938,One year,Electronic check,Fiber optic,No,No internet service,Yes,No,1,No,Yes,Yes,No,1
104,14,22.46179838412386,3967.7420103200743,Two year,Credit card,Fiber optic,Yes,Yes,No,Yes,1,No,No,Yes,No,0
105,27,40.94557695095111,2559.8659930902368,Month-to-month,Mailed check,No,No,No internet service,Yes,Yes,1,No,No,No,No,0
106,9,61.62627806879073,6987.202391094836,Two year,Electronic check,Fiber optic,No internet service,Yes,No,Yes,1,No,Yes,No,Yes,0
107,15,55.65713259508191,1331.457510485465,Month-to-month,Bank transfer,DSL,No internet service,Yes,Yes,Yes,0,Yes,Yes,No,No,0
108,42,111.17258769127757,1730.9173360879831,Month-to-month,Electronic check,No,No internet service,No internet service,Yes,Yes,0,Yes,Yes,Yes,No,1
109,51,24.02889457345421,5530.241698795454,One year,Credit card,Fiber optic,Yes,No,No,No,0,Yes,No,No,Yes,0
110,63,71.22147076770516,2884.243938059942,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,1
111,52,88.0479462524374,5732.833002296854,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,0,Yes,Yes,Yes,No phone service,1
112,4,113.16979736811687,1345.858607949986,Month-to-month,Electronic check,No,Yes,No internet service,Yes,Yes,0,Yes,Yes,No,Yes,1
113,23,82.0371252123721,2092.925807846683,One year,Mailed check,No,Yes,No internet service,Yes,No,0,No,No,Yes,No phone service,0
114,15,100.37552360117627,1337.5142890727047,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,Yes,0,No,Yes,Yes,No phone service,1
115,43,28.37249378453484,7627.991477151726,Month-to-month,Bank transfer,No,No,No internet service,No,Yes,0,No,Yes,No,No,0
116,29,58.59395109369274,3302.6912907223004,Month-to-month,Mailed check,DSL,No internet service,Yes,Yes,No,1,No,No,No,No,0
117,36,57.394713447906746,2764.0372882907855,Two year,Credit card,No,No,Yes,Yes,No,1,No,Yes,Yes,No,0
118,13,108.62882164557176,212.19703374904114,One year,Credit card,No,Yes,Yes,No internet service,No,1,Yes,No,No,No,0
119,32,35.137117126327496,1311.9988773460104,Two year,Mailed check,Fiber optic,No internet service,Yes,No internet service,No,1,Yes,Yes,Yes,No,0
120,71,35.188617233663024,3426.973264315746,One year,Mailed check,Fiber optic,No internet service,Yes,No,No,1,No,No,No,No,0
121,59,52.855814988579844,641.1720613179631,One year,Electronic check,Fiber optic,No internet service,No internet service,No,No,1,No,No,No,No,0
122,28,25.446604736683756,4134.840703099114,Two year,Electronic check,No,No,Yes,No,No,0,Yes,Yes,Yes,No phone service,0
123,66,38.245804065249004,3694.6219638691377,One year,Bank transfer,No,No internet service,No,No,No,0,Yes,Yes,Yes,No phone service,0
124,42,116.52096385457352,6160.628308720381,One year,Electronic check,DSL,Yes,Yes,Yes,Yes,1,Yes,No,No,No,0
125,45,62.81839398671728,5312.441341062501,Two year,Credit card,DSL,Yes,Yes,Yes,Yes,1,No,No,Yes,No,0
126,62,83.20192084224364,3622.9837120325333,Month-to-month,Electronic check,DSL,No,Yes,No,Yes,1,No,Yes,No,No phone service,1
127,57,92.6111259344637,1874.8195308300644,One year,Bank transfer,Fiber optic,No,No internet service,No,No,1,No,Yes,No,No phone service,0
128,6,56.69614070072005,5842.22217154067,Two year,Bank transfer,Fiber optic,Yes,No,No internet service,No,0,No,No,Yes,Yes,0
129,28,34.722707441051696,5692.110617288213,One year,Mailed check,DSL,No,No,No,Yes,0,Yes,Yes,Yes,Yes,0
130,28,40.65810162217808,1311.0396680715605,Two year,Bank transfer,No,No internet service,No,No internet service,No,1,Yes,Yes,Yes,No,0
131,44,51.326647658061034,7326.539468260681,Month-to-month,Mailed check,Fiber optic,No,No internet service,No,Yes,1,No,Yes,No,No,0
132,30,83.60684203522257,608.8004165188411,One year,Credit card,Fiber optic,No internet service,No internet service,No,No,1,Yes,Yes,No,No,0
133,62,59.82805490890544,534.7979002524579,Month-to-month,Credit card,DSL,No internet service,Yes,Yes,No,1,No,No,Yes,No phone service,0
134,62,20.681469790012812,1580.0682995331733,Month-to-month,Electronic check,Fiber optic,No internet service,No internet service,No,No,1,Yes,Yes,Yes,No,0
135,1,72.34071850674718,7284.7403045852925,Two year,Bank transfer,DSL,No internet service,No,No internet service,No,1,No,Yes,No,No,1
136,27,112.1513391907418,4207.9851798916825,One year,Credit card,Fiber optic,No internet service,No,Yes,Yes,0,No,No,No,No,0
137,62,101.2077611008679,6324.733273315911,One year,Mailed check,No,Yes,No internet service,No internet service,Yes,0,Yes,No,Yes,Yes,0
138,3,102.52113712596311,1899.961185804355,One year,Bank transfer,No,Yes,No internet service,No,Yes,0,Yes,Yes,Yes,Yes,1
139,70,99.50580176061311,3972.7535997645527,One year,Bank transfer,Fiber optic,Yes,No,Yes,No,0,Yes,Yes,No,No,0
140,27,52.37308256104237,2930.48676262867,One year,Mailed check,DSL,No internet service,No,No internet service,Yes,1,Yes,No,No,No phone service,0
141,9,96.5193833754392,6639.845995822922,Two year,Bank transfer,Fiber optic,No,No,No,Yes,0,Yes,Yes,Yes,Yes,1
142,62,34.3161357811193,278.57507093789036,One year,Bank transfer,DSL,No,No,No internet service,Yes,0,No,No,No,No,0
143,37,85.77161472759535,2026.3575667322323,Month-to-month,Credit card,Fiber optic,No internet service,No,No,Yes,1,No,Yes,No,Yes,1
144,51,84.15685666849944,1305.3363719887923,Month-to-month,Mailed check,No,No,No internet service,No internet service,Yes,0,No,Yes,No,No phone service,1
145,44,22.556979908973467,6887.5934059003985,One year,Credit card,No,No internet service,No internet service,No,Yes,0,Yes,Yes,Yes,No phone service,0
146,24,98.79701335909316,3793.596412580749,Two year,Mailed check,Fiber optic,No,Yes,No internet service,No,0,No,Yes,No,No phone service,0
147,59,110.32481050951306,3293.338346756408,Two year,Electronic check,Fiber optic,No internet service,Yes,Yes,No,1,Yes,Yes,Yes,No phone service,0
148,32,46.74152784721077,3650.913820598531,One year,Bank transfer,Fiber optic,No,Yes,No,No,1,Yes,Yes,No,No,0
149,52,101.2390724186151,7778.203950548448,Month-to-month,Bank transfer,No,No,No internet service,No,No,1,Yes,No,No,No phone service,1
150,62,28.24059718619482,6817.1124152538005,One year,Credit card,No,Yes,Yes,No internet service,Yes,1,No,Yes,Yes,No,0
151,58,79.9967858261066,5680.313297617429,One year,Bank transfer,DSL,No,Yes,No,Yes,0,No,Yes,Yes,No phone service,0
152,52,68.56468653342772,2394.7837778637113,One year,Bank transfer,Fiber optic,No,No internet service,Yes,No,1,Yes,Yes,No,No,0
153,12,74.5923533309,1404.8666961957374,Two year,Credit card,Fiber optic,No internet service,No,No internet service,Yes,1,No,Yes,Yes,No phone service,0
154,39,112.62052018843451,7379.325669293182,Two year,Credit card,No,No,No internet service,No internet service,Yes,1,No,No,Yes,No,0
155,2,107.13152472468535,3442.2966300922144,Month-to-month,Mailed check,Fiber optic,No,No internet service,No internet service,Yes,0,Yes,No,Yes,Yes,1
156,3,98.5083657239757,2302.17081580217,Month-to-month,Electronic check,DSL,No,No,Yes,No,0,Yes,Yes,No,No,1
157,56,47.3698457678371,3820.27452869932,One year,Credit card,Fiber optic,No,Yes,Yes,Yes,0,No,Yes,Yes,No,0
158,59,111.18186286860916,7350.994640280782,Month-to-month,Mailed check,No,No,No internet service,No,No,0,No,No,No,No phone service,1
159,2,29.750769246387524,3157.8317757912164,One year,Credit card,Fiber optic,Yes,No internet service,No internet service,No,1,Yes,Yes,Yes,No phone service,0
160,2,105.33292165587878,4544.8638782599855,Month-to-month,Mailed check,No,No,No,Yes,Yes,0,No,Yes,Yes,Yes,1
161,54,52.81600723536078,6443.433778757678,One year,Electronic check,DSL,No internet service,No internet service,No,No,1,No,No,No,No phone service,0
162,1,25.37723116619834,3474.3469952822907,Two year,Mailed check,DSL,No internet service,Yes,Yes,No,0,No,No,No,No,0
163,19,86.93569842407483,1944.9802352183096,One year,Mailed check,Fiber optic,No,No,Yes,No,1,Yes,Yes,Yes,No phone service,0
164,2,43.12799283159555,7956.753412225964,Two year,Bank transfer,Fiber optic,No,No internet service,Yes,No,0,Yes,Yes,No,No phone service,0
165,53,44.357112586463195,7656.909773872061,Two year,Credit card,No,No,Yes,No,No,0,Yes,No,No,No,0
166,44,50.60471662287715,6763.485436091561,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,Yes,0,No,No,Yes,Yes,0
167,32,26.368476750251673,5538.153647148788,Month-to-month,Credit card,DSL,No internet service,No internet service,Yes,Yes,0,Yes,Yes,Yes,No phone service,0
168,70,37.7127144198254,2429.438461750606,Two year,Mailed check,DSL,Yes,Yes,Yes,No,1,Yes,Yes,No,No phone service,0
169,32,20.51396275855603,7315.962211495853,One year,Bank transfer,DSL,Yes,No,No internet service,No,0,No,No,Yes,No,0
170,68,64.54095211057869,2276.8976939577074,One year,Bank transfer,Fiber optic,No,Yes,Yes,No,1,No,Yes,No,Yes,0
171,55,28.42553774179713,6426.395007946977,Month-to-month,Electronic check,Fiber optic,No,No,No internet service,No,1,No,No,No,Yes,0
172,56,88.2652605044199,7354.23952673632,One year,Mailed check,No,No internet service,No,Yes,No,0,No,No,No,No phone service,0
173,17,43.56228511916484,4863.730339396301,One year,Bank transfer,DSL,No,No,No internet service,No,0,Yes,No,Yes,No,0
174,38,114.35741440351771,6444.144121340313,One year,Credit card,Fiber optic,No internet service,No internet service,Yes,No,0,Yes,Yes,No,No phone service,0
175,24,107.12516273986526,6354.391283693798,Two year,Mailed check,Fiber optic,Yes,Yes,No internet service,Yes,0,No,No,Yes,No,0
176,69,48.94408949682082,1625.946233855741,Two year,Mailed check,DSL,No internet service,No internet service,No internet service,No,1,Yes,No,No,No,0
177,70,98.32154546566787,5376.603341409069,One year,Electronic check,Fiber optic,No internet service,No internet service,No internet service,Yes,1,Yes,Yes,No,No phone service,0
178,11,100.32449046648063,838.3967015451041,Month-to-month,Credit card,No,No internet service,No,Yes,Yes,0,No,No,No,No,1
179,16,118.65631141144104,4112.016130786103,One year,Electronic check,No,Yes,No internet service,No,No,1,No,No,Yes,No phone service,0
180,59,79.7839986845685,1381.6608303105622,Month-to-month,Mailed check,DSL,Yes,Yes,No internet service,Yes,0,No,Yes,Yes,Yes,1
181,70,28.196573464366217,3389.16104049181,Two year,Electronic check,No,No,No internet service,No internet service,No,1,Yes,No,No,Yes,0
182,3,84.6837228926381,6680.558390117658,One year,Mailed check,Fiber optic,No,No internet service,No internet service,Yes,0,Yes,Yes,No,No phone service,1
183,20,82.49797483760352,7898.625933078614,One year,Mailed check,No,No internet service,No,No internet service,Yes,1,Yes,Yes,Yes,Yes,0
184,59,83.83505774204318,2611.88267011098,Month-to-month,Electronic check,Fiber optic,No internet service,No,No internet service,No,0,Yes,No,No,Yes,1
185,36,50.71456481042115,4302.450020387095,Month-to-month,Electronic check,DSL,Yes,No internet service,No,Yes,0,Yes,No,Yes,Yes,0
186,19,105.96795850803329,4139.254392526859,One year,Mailed check,DSL,Yes,No,Yes,Yes,0,Yes,No,No,Yes,0
187,67,115.94721829554119,7639.771927665422,One year,Electronic check,Fiber optic,Yes,No internet service,No,Yes,0,No,No,No,No,0
188,19,41.771251297815155,3880.811486218911,Month-to-month,Electronic check,Fiber optic,No internet service,Yes,Yes,Yes,1,No,No,Yes,No phone service,0
189,20,28.815215813664445,5622.939022657612,Two year,Mailed check,No,No internet service,Yes,No,No,0,No,Yes,Yes,No phone service,0
190,71,39.45350331684841,7382.134941557356,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,0,No,Yes,Yes,Yes,0
191,52,102.05521392557188,3049.6906203410367,One year,Electronic check,DSL,No internet service,Yes,No internet service,No,1,Yes,No,No,No phone service,0
192,33,87.66446348198475,7226.765682138563,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,No,1,No,No,No,No phone service,0
193,40,83.60473423391267,7347.904152939007,Two year,Bank transfer,No,No,No internet service,Yes,No,0,No,Yes,Yes,No phone service,0
194,39,60.17931351094245,7452.233781340333,Two year,Credit card,No,Yes,No,No internet service,No,1,No,No,No,No,0
195,1,77.78279715114357,2236.5248652242685,Two year,Electronic check,Fiber optic,No internet service,Yes,No internet service,Yes,1,No,No,No,Yes,1
196,11,50.78741252743674,3262.809194732672,One year,Mailed check,No,No internet service,No,Yes,Yes,0,Yes,No,No,No phone service,0
197,57,67.72000794179613,6976.127674983045,Two year,Bank transfer,No,No internet service,No,Yes,Yes,0,Yes,Yes,Yes,No,0
198,50,99.30630283706559,2937.378411815308,Month-to-month,Bank transfer,DSL,No internet service,No,No internet service,Yes,0,Yes,Yes,Yes,Yes,1
199,23,118.12415974554621,4841.99896017469,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,0,No,Yes,No,No,1
200,31,113.24889235898019,1032.6306073544104,Month-to-month,Electronic check,DSL,Yes,No,No internet service,No,0,No,Yes,No,No,1
201,42,113.38659428462488,544.572406078802,One year,Mailed check,DSL,No,No,Yes,Yes,1,Yes,No,No,No,0
202,7,60.22237348471124,3354.7525169881633,Two year,Bank transfer,No,Yes,No internet service,Yes,No,1,No,No,Yes,No phone service,0
203,16,66.8789880506791,4673.440607482468,Month-to-month,Credit card,DSL,No,No internet service,Yes,No,0,No,No,Yes,Yes,0
204,60,90.56353963689816,3202.322995535637,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,No internet service,No,0,Yes,Yes,Yes,Yes,1
205,2,112.21919280512843,4664.1125842706515,Month-to-month,Bank transfer,Fiber optic,Yes,No internet service,No internet service,No,0,No,No,Yes,No phone service,1
206,1,34.19942593520847,4169.166571757102,Two year,Credit card,Fiber optic,No internet service,No,No,No,0,No,Yes,Yes,Yes,0
207,48,50.424186382719576,5517.08711136,Month-to-month,Bank transfer,DSL,No,No internet service,Yes,No,1,No,No,No,Yes,0
208,12,33.924684459410955,5231.306205416579,Two year,Bank transfer,Fiber optic,No internet service,No internet service,Yes,No,1,No,Yes,No,No,0
209,69,81.20085299594552,3451.5410553319825,Two year,Credit card,Fiber optic,No internet service,Yes,No internet service,No,0,No,No,Yes,No phone service,0
